"","pan.samplesID","cancer.type","Subtype_mRNA","Subtype_DNAmeth","Subtype_protein","Subtype_miRNA","Subtype_CNA","Subtype_Integrative","Subtype_other","Subtype_Selected"
"794","TCGA-BH-A0BO-01A-23R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"795","TCGA-BH-A18I-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"796","TCGA-BH-A18J-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"797","TCGA-BH-A18N-11A-43R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"798","TCGA-BH-A18P-11A-43R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"799","TCGA-BH-A18R-01A-11R-A12D-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"800","TCGA-BH-A18S-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"801","TCGA-E2-A14Q-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"802","TCGA-E2-A14S-01A-11R-A12D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"803","TCGA-E2-A155-01A-11R-A12D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"804","TCGA-E2-A156-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"805","TCGA-A7-A13D-01A-13R-A12P-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"806","TCGA-A7-A13E-01A-11R-A12P-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"807","TCGA-A7-A13F-01A-11R-A12P-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"808","TCGA-AR-A1AO-01A-11R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"809","TCGA-AR-A1AQ-01A-11R-A12P-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"810","TCGA-AR-A1AX-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"811","TCGA-AR-A1AY-01A-21R-A12P-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"812","TCGA-BH-A0AU-01A-11R-A12P-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"813","TCGA-BH-A0BS-11A-11R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"814","TCGA-BH-A0BT-11A-21R-A12P-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"815","TCGA-BH-A0BZ-01A-31R-A12P-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"816","TCGA-BH-A0C3-01A-21R-A12P-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"817","TCGA-BH-A0DD-01A-31R-A12P-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"818","TCGA-E2-A15J-01A-11R-A12P-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"819","TCGA-E2-A15K-01A-11R-A12P-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"820","TCGA-E2-A15K-06A-11R-A12P-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"821","TCGA-BH-A18J-11A-31R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
