"","pan.samplesID","cancer.type","Subtype_mRNA","Subtype_DNAmeth","Subtype_protein","Subtype_miRNA","Subtype_CNA","Subtype_Integrative","Subtype_other","Subtype_Selected"
"1073","TCGA-D8-A1J9-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1074","TCGA-D8-A1JA-01A-11R-A13Q-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1075","TCGA-D8-A1JC-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1076","TCGA-D8-A1JT-01A-31R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1077","TCGA-E2-A1L6-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1078","TCGA-EW-A1IY-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1079","TCGA-EW-A1J1-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1080","TCGA-A2-A1FX-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1081","TCGA-AO-A1KS-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1082","TCGA-B6-A1KN-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1083","TCGA-BH-A1F2-01A-31R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1084","TCGA-BH-A1F5-01A-12R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1085","TCGA-BH-A1F8-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1086","TCGA-AC-A23E-01A-11R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1087","TCGA-BH-A0W5-01A-11R-A109-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1088","TCGA-BH-A0WA-01A-11R-A109-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1089","TCGA-E9-A22B-01A-11R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1090","TCGA-E9-A22D-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1091","TCGA-E9-A22E-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1092","TCGA-E9-A22G-01A-11R-A157-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1093","TCGA-E9-A22H-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1094","TCGA-AR-A254-01A-21R-A169-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1095","TCGA-C8-A278-01A-11R-A169-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1096","TCGA-E9-A1QZ-01A-21R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1097","TCGA-B6-A1KI-01A-11R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1098","TCGA-D8-A1XM-01A-21R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1099","TCGA-D8-A1XU-01A-11R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1100","TCGA-D8-A1Y0-01A-11R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1101","TCGA-D8-A1Y1-01A-21R-A14M-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1102","TCGA-E9-A1R3-01A-31R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1103","TCGA-E9-A1N9-01A-11R-A14D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1104","TCGA-E9-A1N9-11A-71R-A14D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1105","TCGA-E9-A1NF-01A-11R-A14D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1106","TCGA-E9-A1NH-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1107","TCGA-E9-A1NI-01A-11R-A14D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1108","TCGA-E9-A1R2-01A-11R-A14D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1109","TCGA-E9-A1R4-01A-21R-A14D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1110","TCGA-A7-A0DC-11A-41R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1111","TCGA-BH-A0AY-11A-23R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1112","TCGA-BH-A0B3-11B-21R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1113","TCGA-BH-A0BC-11A-22R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1114","TCGA-BH-A0BJ-11A-23R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1115","TCGA-BH-A0BM-11A-12R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1116","TCGA-BH-A0BV-11A-31R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1117","TCGA-BH-A0C0-11A-21R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1118","TCGA-BH-A0DH-11A-31R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1119","TCGA-BH-A0DK-11A-13R-A089-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1120","TCGA-BH-A0DP-11A-12R-A089-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1121","TCGA-BH-A0DQ-11A-12R-A089-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1122","TCGA-A2-A0YK-01A-22R-A109-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1123","TCGA-AN-A0XN-01A-21R-A109-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1124","TCGA-AN-A0XT-01A-11R-A109-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1125","TCGA-AN-A0XU-01A-11R-A109-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1126","TCGA-AN-A0XV-01A-11R-A109-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1127","TCGA-AN-A0XW-01A-11R-A109-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1128","TCGA-AR-A0TU-01A-31R-A109-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1129","TCGA-AR-A0U0-01A-11R-A109-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1130","TCGA-E9-A1N3-01A-12R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1131","TCGA-E9-A1RB-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1132","TCGA-E9-A1RB-11A-33R-A157-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1133","TCGA-E9-A1RC-01A-11R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1134","TCGA-E9-A1RD-01A-11R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1135","TCGA-E9-A1RD-11A-33R-A157-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1136","TCGA-E9-A1RE-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1137","TCGA-E9-A1RF-01A-11R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1138","TCGA-E9-A226-01A-21R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1139","TCGA-E9-A227-01A-11R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1140","TCGA-E9-A228-01A-31R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1141","TCGA-E9-A229-01A-31R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1142","TCGA-E9-A22A-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1143","TCGA-AR-A24W-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1144","TCGA-AR-A24X-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1145","TCGA-AR-A24Z-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1146","TCGA-AR-A250-01A-31R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1147","TCGA-AR-A251-01A-12R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1148","TCGA-AR-A252-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1149","TCGA-AR-A255-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1150","TCGA-AR-A256-01A-11R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1151","TCGA-AR-A0U2-01A-11R-A109-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1152","TCGA-AR-A0U3-01A-11R-A109-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1153","TCGA-B6-A0WT-01A-11R-A109-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1154","TCGA-B6-A0WV-01A-11R-A109-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1155","TCGA-B6-A0WW-01A-11R-A109-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1156","TCGA-B6-A0X1-01A-11R-A109-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1157","TCGA-B6-A0X4-01A-11R-A109-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1158","TCGA-B6-A0X5-01A-21R-A109-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1159","TCGA-BH-A209-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1160","TCGA-BH-A209-11A-42R-A157-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1161","TCGA-D8-A1X9-01A-12R-A157-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1162","TCGA-D8-A1Y2-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1163","TCGA-D8-A1Y3-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1164","TCGA-E2-A1LI-01A-12R-A157-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1165","TCGA-E2-A1LS-01A-12R-A157-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1166","TCGA-A2-A25B-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1167","TCGA-A2-A25C-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1168","TCGA-A2-A25E-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1169","TCGA-A2-A25F-01A-11R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1170","TCGA-A7-A26E-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1171","TCGA-A7-A26F-01A-21R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1172","TCGA-A7-A26G-01A-21R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1173","TCGA-A7-A26H-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1174","TCGA-A7-A26I-01A-11R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1175","TCGA-A7-A26J-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1176","TCGA-AC-A23C-01A-12R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1177","TCGA-AR-A24H-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1178","TCGA-AR-A24K-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1179","TCGA-AR-A24L-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1180","TCGA-AR-A24M-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1181","TCGA-AR-A24N-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1182","TCGA-E9-A243-01A-21R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1183","TCGA-E9-A244-01A-11R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1184","TCGA-E9-A247-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1185","TCGA-E9-A248-01A-11R-A169-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1186","TCGA-E9-A249-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1187","TCGA-E9-A24A-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1188","TCGA-AQ-A0Y5-01A-11R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1189","TCGA-GM-A2DN-01A-11R-A180-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1190","TCGA-GM-A2DM-01A-11R-A180-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1191","TCGA-AR-A24O-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1192","TCGA-AR-A24P-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1193","TCGA-AR-A24Q-01A-12R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1194","TCGA-AR-A24R-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1195","TCGA-AR-A24S-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1196","TCGA-AR-A24T-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1197","TCGA-AR-A24U-01A-11R-A169-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1198","TCGA-AR-A24V-01A-21R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1199","TCGA-BH-A201-01A-11R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1200","TCGA-BH-A202-01A-11R-A14M-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1201","TCGA-D8-A1JJ-01A-31R-A14M-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1202","TCGA-D8-A1X6-01A-11R-A14M-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1203","TCGA-D8-A1X7-01A-11R-A14M-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1204","TCGA-D8-A1X8-01A-11R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1205","TCGA-D8-A1XJ-01A-11R-A14M-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1206","TCGA-D8-A1XK-01A-21R-A14M-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1207","TCGA-BH-A1FB-01A-11R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1208","TCGA-BH-A1FD-11B-21R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1209","TCGA-BH-A1FE-11B-14R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1210","TCGA-BH-A1FG-11B-12R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1211","TCGA-BH-A1FH-01A-12R-A13Q-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1212","TCGA-BH-A1FJ-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1213","TCGA-BH-A1FJ-11B-42R-A13Q-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1214","TCGA-BH-A1FM-01A-11R-A13Q-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1215","TCGA-BH-A203-01A-12R-A169-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1216","TCGA-BH-A203-11A-42R-A169-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1217","TCGA-C8-A27A-01A-11R-A169-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1218","TCGA-C8-A27B-01A-11R-A169-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1219","TCGA-E9-A1RH-01A-21R-A169-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1220","TCGA-E9-A1RH-11A-34R-A169-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1221","TCGA-E9-A1RI-01A-11R-A169-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1222","TCGA-AC-A23H-01A-11R-A157-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1223","TCGA-AC-A23H-11A-12R-A157-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1224","TCGA-B6-A1KC-01B-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1225","TCGA-BH-A204-01A-11R-A157-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1226","TCGA-BH-A204-11A-53R-A157-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1227","TCGA-BH-A208-01A-11R-A157-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1228","TCGA-BH-A208-11A-51R-A157-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1229","TCGA-AC-A2B8-01A-11R-A17B-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1230","TCGA-C8-A26X-01A-31R-A16F-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1231","TCGA-C8-A26Y-01A-11R-A16F-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1232","TCGA-C8-A26Z-01A-11R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1233","TCGA-C8-A273-01A-11R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1234","TCGA-C8-A274-01A-11R-A16F-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1235","TCGA-C8-A275-01A-21R-A16F-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1236","TCGA-D8-A27E-01A-11R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1237","TCGA-D8-A27F-01A-11R-A16F-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1238","TCGA-E9-A1R5-01A-11R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1239","TCGA-E9-A1R7-01A-11R-A14M-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1240","TCGA-E9-A1R7-11A-42R-A14M-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1241","TCGA-EW-A1PH-01A-11R-A14M-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1242","TCGA-AC-A2FK-01A-12R-A180-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1243","TCGA-AC-A2FO-01A-11R-A180-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1244","TCGA-AR-A2LE-01A-11R-A180-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1245","TCGA-A2-A259-01A-11R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1246","TCGA-A2-A25A-01A-12R-A16F-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1247","TCGA-A2-A25D-01A-12R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1248","TCGA-BH-A28Q-01A-11R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1249","TCGA-C8-A26V-01A-11R-A16F-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1250","TCGA-C8-A26W-01A-11R-A16F-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1251","TCGA-AC-A2FB-01A-11R-A17B-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1252","TCGA-AC-A2FB-11A-13R-A17B-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1253","TCGA-AC-A2FF-01A-11R-A17B-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1254","TCGA-AC-A2FF-11A-13R-A17B-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1255","TCGA-AC-A2FG-01A-11R-A17B-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1256","TCGA-D8-A27V-01A-12R-A17B-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1257","TCGA-EW-A2FS-01A-11R-A17B-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1258","TCGA-EW-A2FV-01A-11R-A17B-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1259","TCGA-EW-A2FW-01A-11R-A17B-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1260","TCGA-D8-A1XY-01A-11R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1261","TCGA-D8-A1XZ-01A-11R-A14M-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1262","TCGA-E2-A1LG-01A-21R-A14M-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1263","TCGA-E9-A1N4-01A-11R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1264","TCGA-E9-A1N4-11A-33R-A14M-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1265","TCGA-E9-A1NE-01A-21R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1266","TCGA-E9-A1NG-01A-21R-A14M-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1267","TCGA-E9-A1NG-11A-52R-A14M-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1268","TCGA-AR-A2LK-01A-11R-A180-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1269","TCGA-AR-A2LL-01A-11R-A180-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1270","TCGA-AR-A2LM-01A-11R-A180-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1271","TCGA-E9-A2JS-01A-11R-A180-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"1272","TCGA-GM-A2DD-01A-11R-A180-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"1273","TCGA-GM-A2DF-01A-11R-A180-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1274","TCGA-GM-A2DH-01A-11R-A180-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"1275","TCGA-GM-A2DK-01A-21R-A180-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1276","TCGA-D8-A27G-01A-11R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1277","TCGA-D8-A27H-01A-11R-A16F-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1278","TCGA-D8-A27I-01A-11R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1279","TCGA-D8-A27K-01A-11R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1280","TCGA-D8-A27L-01A-11R-A16F-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"1281","TCGA-D8-A27M-01A-11R-A16F-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"1282","TCGA-D8-A27N-01A-11R-A16F-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
